"caption","commentsCount","displayUrl","firstComment","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","inputUrl","isCommentsDisabled","isPinned","likesCount","locationName","productType","timestamp","type","url","videoPlayCount"
"🇺🇦Join us for the “Mariupol Justice Initiative: Accountability for Ukraine Through the Lens of Mariupol” event. Together with the Embassy of Ukraine and Mauripol Council, this event seeks to bring awareness to the destruction of Mariupol, and its implications on mechanisms of international accountability.

⚖️The destruction of Mariupol in 2022 stands as one of the most severe cases of large-scale urban devastation in Europe since the Second World War. With the help of our expert guest speakers, we will unpack the role of the International Criminal Court, The Register of Damages and the Special Tribunal for the Crimes of Aggression against Ukraine.

Join us for this special opportunity and learn more about accountability architecture centered in The Hague.

📅 Tuesday, June 23rd
 🕔 15:00 - 17:00
📍 Spui, Room 1B.12
Spui 5, 2511 BL, The Hague

Sign up via the link in our bio!","0","https://instagram.fyto1-2.fna.fbcdn.net/v/t51.82787-15/720919658_18003189050948578_978018067665412123_n.webp?_nc_cat=110&ig_cache_key=MzkyMDcyODMyOTkxNzMzMTc2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TSix4qo0uqoQ7kNvwHbx35W&_nc_oc=Adpxt9zgYZbne6PkPnJJYGQpXF_EvE_5hL1ystw2i5LQ-ww7yT5dax16Kj_63_---43bk919IIMbS-G7fu07e2ft&_nc_zt=23&_nc_ht=instagram.fyto1-2.fna&_nc_gid=_6L_N2SJz0xVzS9LTqPiQA&_nc_ss=7d689&oh=00_AQCP942ZzBaPVq4jcNCEHnDC0TizP8aLOND2JNcswuzVKw&oe=6A6D38A0","",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"71",,"carousel_container","2026-06-16T10:55:42.000Z","Sidecar","https://www.instagram.com/p/DZpOkSWAlze/",
"Have you heard about Zaporozhian Cossacks from Ukraine? 🇺🇦

Regardless of your answer, we have something special prepared for you! 👀

Join our first Ukrainian TTRPG event and submerge into its folklore and history while learning about and exploring the Cossack Republic of Ukraine. If you like political intrigues, rich folklore and emotional stories, then this event is definitely for you! 

This edition of ABBA DnD will take you to explore the Ukrainian Steppe, merging regions of Kherson, Donbas, Crimea and Dnipro basin, showing the rich tapestry of Ukrainian landscape, culture and history. What awaits you is an emotional story centered around Zaporozhian Cossacks - famed for their untamable nature and wild spirit ⚔️

Leverage your creativity, engage with your fellow players and throw yourself into the deep sea of Ukrainian folklore for a few hours!

🕐 18:00 - 22:00
📍 Beehive Common Room
 📆 Tue, May 12
 Spui 5 2511 BL The Hague

Sign-up by contacting our game master under +31 628 157 692!","0","https://scontent-ssn1-1.cdninstagram.com/v/t51.82787-15/684819298_17997877514948578_7020029174575505626_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gG7ysJx5mhyAxGvnEazpEM7H1xj-RAOEDAtevAqe6VCFHCqZ3cCqd3cQEodXfyEEXA&_nc_ohc=jx1wZNsl4JAQ7kNvwFriIXV&_nc_gid=3tyTiHeR48MdZCepRKuXdA&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQByjgxOtinP6AZDNfa-S8KS8XhGnqVMDYu8HaPyJMn2rw&oe=6A6D3908&_nc_sid=c6f216","",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"42",,"feed","2026-05-07T08:04:26.000Z","Image","https://www.instagram.com/p/DYB7FxpAszk/",
"Can’t find the new Beehive Common Room in the Spui Building? Kasia’s got you covered. 🐝

✨ Join us tomorrow for the Cultural Festival at the Spui Building, 6th floor — then keep the fun going at the afterparty in MingleMush. 

😋Unlimited food and drinks await with your ticket. 

Link in bio!","0","https://scontent-lhr11-1.cdninstagram.com/v/t51.82787-15/684727049_17997924731948578_636173846380560647_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gEDQxNFv0m_Z2RT_yNmbK3QMRCHWyxZKu3VGqUFmVt8OTZ2tzRj853FFmVlY8yANYI&_nc_ohc=qugjFHLDIB0Q7kNvwG4nfNd&_nc_gid=966O8AN8FKfzRMAhczAohw&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQD4EGTYzD5_Cop98VauWezSXgLORdBnGbR-q_TsHY6Gzw&oe=6A6D565B&_nc_sid=c6f216","",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"49",,"clips","2026-05-07T15:48:37.000Z","Video","https://www.instagram.com/p/DYCv7VaiU1U/","2723"
"Discover the beauty of Ukrainian Easter traditions and learn the art of Pysanka egg painting! Using wax and vibrant colors, you’ll create your own unique designs while exploring the meaning behind this centuries-old craft.

🖌️ No experience needed — all materials are provided!
💛 A perfect mix of culture, creativity, and community

📅 8 April
⏰ 18:00 – 21:00
📍 Beehive Common Room
👥 Limited spots

💰 €3 ABBA members | €4 non-members

✨ Join us for a cozy and creative evening — sign up now before spots fill up!","2","https://scontent-yyz1-1.cdninstagram.com/v/t51.82787-15/660044630_17993378000948578_6391735444146787349_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gHds0itFfrUvJrpBJ1yeQ7MxB23226k5bAAwA_PP697cJ_5GYfuFiZ5knFfgdyMvn8&_nc_ohc=e0AYFGJrV5kQ7kNvwHtQgaN&_nc_gid=GzRxAFmMALBP3NxZQf0u5Q&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQAM4SWxxy7TzASKXBDMR43f5PtodLISCDs24QIp11KxNg&oe=6A6D3D4A&_nc_sid=c6f216","😍😍",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"52",,"feed","2026-04-01T16:00:00.000Z","Image","https://www.instagram.com/p/DWmFExcgsqF/",
"🔎 Join us for an engaging discussion on European security at the “Nordic-Baltic Security Cooperation” panel 🌍

Together with NASA, we’re bringing you an expert-led conversation on:
 • NATO’s role in regional defense
 • The impact of Crimea’s annexation
 • The rise of hybrid threats & Article 5

🎤 Featuring:
 • Mr. Gatis Šneiders – Deputy Head of Mission, Latvian Embassy
 • Lukas Milevski – Assistant Professor, Leiden University

📅 April 22
⏰ 18:00–20:00
📍 Room 4B.38, Spui Campus, Leiden University

Don’t miss the chance to gain insights from leading experts and be part of the conversation.

👉 Sign up via the link in bio!","1","https://instagram.fmad19-1.fna.fbcdn.net/v/t51.82787-15/670500915_17995198793948578_7421791311821795137_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=instagram.fmad19-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2gFw3ge217CFjRwzbhjDxsRwz4OEX4cINaSdLOcyn9pp9gBwkpvAe3wH7RDOqeQPT-w&_nc_ohc=B-sOKIoqTXAQ7kNvwGsbk_Y&_nc_gid=2iK9_gB-fQFZhA-8JN4_nQ&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQDEOazwf0WU0aHb-jwIMrqZIdIU4ZjDdN2vvTzeSQ9FZQ&oe=6A6D5520&_nc_sid=c6f216","Yess 🙌",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"72",,"feed","2026-04-16T14:32:33.000Z","Image","https://www.instagram.com/p/DXMi5LQgnkv/",
"How do info-wars and disinformation work? And how to tackle them? Join us for a lecture with Aleksandra Ketlerienė on Friday to talk exactly about that 🙌

📆 Friday, May 22
⏰ 17:15–19:00
📍 3B.38, Leiden University – Spui Campus, The Hague
🔗 Sign up via link in our bio!

#disinformation #studentlife #leidenuniversity #fyp","3","https://scontent-itm1-1.cdninstagram.com/v/t51.71878-15/703275773_811478671796019_2507012272222233375_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-itm1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gEISezjXoob3ysNLT97nMdkkI-y9lHLJpAe4u88vNMnsDpaRasmioLBwyxr0zd1fLwRplcZnMgZ0VXayRQ09Zt3&_nc_ohc=mnrBJAS-DE8Q7kNvwGQflv8&_nc_gid=rHNA-AEtREVhU7SAXB9vow&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQDg1-h7Jl2ZanpqpHX9Jx5VNLOxU9mV4Ngb8oVvpXc8AA&oe=6A6D42C6&_nc_sid=c6f216","Слава Україні","disinformation","studentlife","leidenuniversity","fyp",,,,"https://www.instagram.com/abba.association.leiden/","false",,"76",,"clips","2026-05-20T14:42:53.000Z","Video","https://www.instagram.com/p/DYkGtL3Cgva/","3268"
"After 16 years under Victor Orbán’s premiership, Hungary has entered a new political era. The most recent election marked a historic defeat for Fidesz and a major shift in the country’s democratic landscape. 

What does this mean for Hungary’s political future, its institutions, and its role in Europe? How should we understand the rise of a new governing force after more than a decade of dominant-party rule?

ABBA invites scholars, analysts, and youth representatives to examine the significance of this election and its broader implications. The discussion will explore the forces that shape the vote, from economic pressures and media influence to democratic concerns, and assess what this result could mean for Hungary’s place in the European Union. 

This is more than a national turning point. It is a moment that may reshape the future of European politics. 

📅 Friday, 24th April
 🕔 17:30 - 
📍 Room 3B.38, Spui Campus, Spui 5, The Hague","0","https://instagram.fpoa12-1.fna.fbcdn.net/v/t51.82787-15/670402718_17994977174948578_4227380913247763936_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=Mzg3NTI0Njg4NTU0NzY5NDE2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=9dk-ver_jKoQ7kNvwEalh1c&_nc_oc=AdqmTKCKT0vHAU1Zq7EdYHXON8zgqItg3BZ4_rgvDAHtyvdxGg7UvZqsQYdW-SZj22Q&_nc_zt=23&_nc_ht=instagram.fpoa12-1.fna&_nc_gid=rFpKmRzMHDdzCGlK3z9IAg&_nc_ss=72a8c&oh=00_AQB90oVWpBUt1qQwdESiNBYiA-KzcAAUREqLX9fsSTzhWg&oe=6A6D3EC9","",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"69",,"carousel_container","2026-04-14T16:50:52.000Z","Sidecar","https://www.instagram.com/p/DXHpIfEggu-/",
"The lecture “Everything You Wanted to Know About Infowars and Disinformation, but Were Afraid to Ask,” presented by Aleksandra Ketlerienė, will explore key issues surrounding disinformation and propaganda, including how they operate, how they can be countered, and how societies can build resilience against them. The renowned political journalist and Deputy Editor-in-Chief of the Lithuanian National Radio and Television news outlet will discuss these topics and answer students’ most pressing questions.
- in partnership with Lithuanian embassy and NLT","1","https://instagram.fbne8-1.fna.fbcdn.net/v/t51.82787-15/692616761_18060502865706130_7213330369530385550_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=instagram.fbne8-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2gFc7XbX5RLdDItg-YrdkahENQlhPKKYgZuOY4xuOQeETkN-W-1Xf9iQqE4yL9AqA7Q&_nc_ohc=PTNRRAkw2AwQ7kNvwGn0XJ4&_nc_gid=BlZPj9pXXDgiiHMj0nqgug&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQA7A8pih4nBmkST19bKE6pl9T-pwlgSNngB-hudsRr0VQ&oe=6A6D52B5&_nc_sid=c6f216","Super paskaita laukia! Kas negali penktadienį, gali sekmadienį 🇱🇹",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"26",,"feed","2026-05-14T10:25:17.000Z","Image","https://www.instagram.com/p/DYUMeHUsF8N/",
"✨We’re grateful for the little moments that bring us together…  ABBA Cultural Festival Hallelujah 🙏

Summer Nostalgia Hallelujah 🙏

Comfort food, familiar songs, culture, and people that feel like home — what more could you want?

Join us this Friday (May 8th) and celebrate with us 💛

🎟️ Sign up via the link in bio!

#abba #hallelujah #trend #justinbieber #everythinghallelujah","1","https://scontent-icn2-1.cdninstagram.com/v/t51.71878-15/687250873_1283706196637550_7083792293770825999_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gEVdzTwKU0hmgbOvZG8w5xN7hqVw0f8C7QMO1Xd-xthHbdXXetdFVpG2PXtCMtsK_o&_nc_ohc=X3mdkclXYRQQ7kNvwHgBByU&_nc_gid=_UOsT1vErGgObJHzXiHCUA&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQDO8R51OIPI2TS98uPeBAwIs6lKRIuiTDqr8quw5_XU5g&oe=6A6D4FC4&_nc_sid=c6f216","🙏🙏","abba","hallelujah","trend","justinbieber","everythinghallelujah",,,"https://www.instagram.com/abba.association.leiden/","false",,"54",,"clips","2026-05-03T17:04:53.000Z","Video","https://www.instagram.com/p/DX4lWAsi1IC/","3063"
"Reflecting on @abba.association.leiden‘s 2026 Sustainable Peace and Security Conference, featuring distinguished diplomats, including the ambassadors of Ukraine and Estonia, Dutch government officials from the Ministry of Defence (@minvandefensie), and teaching staff of Leiden University’s Faculty of Governance and Global Affairs (@leidenuniversityfgga)","0","https://scontent-cdg4-1.cdninstagram.com/v/t51.82787-15/706504623_17870391153674375_8999679580628624801_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzkwNDg3OTE2Mjc2MTEzNTIwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMzI3Ny5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=mZJ0w_NNWCUQ7kNvwEzgvN3&_nc_oc=AdrVWBo6Ppq1utFTo6k9x8GqVjU9Q5LIcOUQgRQvhDoaCTviri63eXQdmllk-R3ujqA&_nc_zt=23&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_gid=mf-J6jTjUFIK597YQgk5Fg&_nc_ss=72289&oh=00_AQCmzXMOFeQXZu9iFRNAlQYqrsgj6GArS9JYAIM8DFZNbQ&oe=6A6D2836","",,,,,,,,"https://www.instagram.com/abba.association.leiden/","false",,"-1","Leiden University Campus Den Haag","carousel_container","2026-05-25T14:05:35.000Z","Sidecar","https://www.instagram.com/p/DYw6z2FjPUf/",
