"","caption","commentsCount","displayUrl","firstComment","hashtags.0","hashtags.1","hashtags.2","hashtags.3","hashtags.4","hashtags.5","hashtags.6","hashtags.7","hashtags.8","hashtags.9","hashtags.10","hashtags.11","inputUrl","isCommentsDisabled","isPinned","isSponsored","likesCount","locationName","ownerUsername","productType","timestamp","type","url","videoPlayCount","date","Board","EngagementType","Board1","Board2","Board3","Social","Cultural","Political","Activism","Workshop","Carrousel","Video","Image","attnum","date_n"
"1","🥳 We are happy to announce the creation of the Adriatic-Baltic-Black-Azov seas Student Association! 

















🌍 ABBA is a collective youth initiative that aims to bring together students and youths from Eastern European states, exploring common cultural and historical heritage, as well as outlining the academic importance of political developments of these states at Leiden University @universiteitleiden

















🗣 Together, we will organize events to share and discuss our culture, history, and politics with the student community. 

















🙌 Join us to dive into the world of magical countries and nations located between the Adriatic, Baltic, Black, and Azov seas!",1,"https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/338233941_511649850970047_8506321409466881841_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEDs39iiifsheyVfbD-8EJ-J7a8EFhMbRLtOs1lsx1g6IuD6Iz999vi0e_CiDM487g&_nc_ohc=0sVQNJ9R42UQ7kNvwFjzgOJ&_nc_gid=uI0NFZTpT2dK_xYlKd9ecw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcFRH4xQLqdLffFznU7Ry4y5XEsQ468cr-mTafTXTqeMw&oe=69059506&_nc_sid=10d13b","t-shirt of the year 🏆",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",89,"The Hague, Netherlands","abba.association.leiden",NA,"2023-03-29T16:59:35.000Z","Image","https://www.instagram.com/p/CqYWLXvjfDF/",NA,2023-03-29,1,"Social",1,0,0,1,0,0,0,0,0,0,1,NA,638.797634691196
"2","📌 Updated version is pinned 








❗️ Our main goals are: 

















1️⃣: Spread awareness of member countries' politics, culture, and history among LU students. 

















For years, Eastern Europe got little-to-no coverage in university curricula and student-led events. By starting this association, we aim to raise awareness of our countries’ present-day achievements, as well as historical and cultural richness, through events, discussions, and festivals. 

















2️⃣: Promote an academic focus on member states' political developments. 

















Some of our countries’ political developments have stricken the news, however, little is known to the general public besides the headlines. We strive to share the knowledge of the intricate workings of our politics through an academic lens here at LU. 

















3️⃣: Maintain attention on Russia's invasion of Ukraine. 

















For more than a year, Ukraine has been bravely defending its right to freedom and democracy. We aim to do everything possible to support Ukrainian students and to remind the LU community about the hardships that Ukrainian people face. 

















📣 Stay tuned for our upcoming events!",0,"https://scontent-mia3-3.cdninstagram.com/v/t51.29350-15/338795467_610675497251889_2278642886414444747_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHSQpptM1Fr5ak0YEPumseSzZkKMPVQoxMR0cMYqjoncm5Q92BaxHJulMgx5YlzM24&_nc_ohc=qdVx3oPpRucQ7kNvwEWSI2N&_nc_gid=K01Dh-uPJF5zXZHsinV35A&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aff42iukx9iJ-aJGvhILVGeyqyC3x1kdYvjb-e26ohwU3Q&oe=69056CB5&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",46,"The Hague, Netherlands","abba.association.leiden",NA,"2023-03-29T17:04:11.000Z","Image","https://www.instagram.com/p/CqYWtCyjPEA/",NA,2023-03-29,1,"Social",1,0,0,1,0,0,0,0,0,0,1,NA,638.797634691196
"3","✨ It is us, the founders of ABBA! 

















👤 We are representatives of five countries, eager to share more about our nations. 

















Czech Republic 🇨🇿 @svab.josef 








Estonia 🇪🇪 @helenkurvits 








Poland 🇵🇱 @black.capybara.cocktails 








Slovakia 🇸🇰 @carlos_zmizol 








Ukraine 🇺🇦 @cupofjuly @neoneun_na @deeanachaban @chepkevych @noellepe 

















📩 We welcome other neighboring countries — send us a DM! 

















🍻 Reach out to us if you have ideas for collaboration or social outings!",0,"https://scontent-hou1-1.cdninstagram.com/v/t51.29350-15/338179021_1208708680005775_1325991295300564286_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEZrLw4l75NXgZltlmyjvb5NfXP_wN35Bzi9bIq2o-iI03eL5Jj-1K-wNOim5OWmog&_nc_ohc=UPkzoXT640kQ7kNvwF2kFth&_nc_gid=gnoNrqzFGB47I64qQyDa9w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd6qvhnSSD-CqJX4klater4xIiYJCFFtoEUCINuTYLQqA&oe=690587FD&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",59,"The Hague, Netherlands","abba.association.leiden",NA,"2023-03-29T17:02:32.000Z","Image","https://www.instagram.com/p/CqYWg5sjzaG/",NA,2023-03-29,1,"Social",1,0,0,1,0,0,0,0,0,0,1,NA,638.797634691196
"4","🗣 Q&A with the Embassy of Ukraine 

















🦾 For over a year, Ukrainian people have been bravely defending their right to freedom and democracy. 

















🙏 To commemorate the anniversary of the liberation of Bucha, the Chargé d’Affaires of the Embassy of Ukraine in the Netherlands, Anatolii Solovei, will speak about Russia's war against Ukraine and the global efforts to hold those who committed crimes against Ukraine accountable. 

















📆 When: April 6, 17:00








📍 Where: room 3.46, Wijnhaven (Turfmarkt 99)

















✅ Sign up with a link in bio",0,"https://scontent-phx1-1.cdninstagram.com/v/t51.29350-15/338749264_175958034865272_7392975819366028049_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QGj7A5E7RXicXTEIqVAfzqbzo5dA_MyhwQ0ZDcZXNcV3OLW1zQmE2ns8IFe32nIA0I&_nc_ohc=2p3HlMGRwo4Q7kNvwEE4OXG&_nc_gid=C4JEYL9UukFeBeYdajDRbA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcAa8W4MqjCsdIckY5UfMov6JO4ILi2-TTT-2OGoXhxdA&oe=6905795F&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",55,"Leiden University - Faculty of Governance and Global Affairs","abba.association.leiden",NA,"2023-03-31T13:11:57.000Z","Image","https://www.instagram.com/p/CqdFt5RDP-f/",NA,2023-03-31,1,"Political",1,0,0,0,0,1,0,0,0,0,1,53,638.863337713535
"5","🔁 History tends to repeat itself. 

















☝️ «Study history! Learn from it!» — that’s the advice given by Mr. Solovei to Leiden University students. 

















🤔 Why is it so important? Find out in this video!",0,"https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/497399055_1156145646550588_5542345931814727483_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QE1Lsa7fZ8SPuAwXlzMKzB97PMKaIOK00JbSP17M-eYVdSxegr7o0GnFJbPosWjzj_uAmShjSxtvCnt1SCp5wRU&_nc_ohc=CzXjECggk9IQ7kNvwH1siQp&_nc_gid=7nfRyQsfUPSj_nc9CMik-A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffKJ85CjLkvVBWOnloiKWf0ggk-7cy-rjplVi-RrLgHDg&oe=6905952D&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",18,"Universiteit Leiden - Wijnhaven","abba.association.leiden","clips","2023-04-09T17:30:25.000Z","Video","https://www.instagram.com/p/Cq0uWyrg6ZF/",840,2023-04-09,1,"Political",1,0,0,0,0,1,0,0,0,1,0,NA,639.15900131406
"6","🤝 Big thanks to all who attended our 1st event! 

















🗣 Together with the students, the Chargé d’Affaires of the Embassy of Ukraine in the Netherlands, Anatolii Solovei, discussed various topics, as seen in the video. 

















🔔 Tune in for parts 2 & 3 to hear Mr. Solovei’s message to future diplomats and draw a historical parallel between Russia’s invasion of Ukraine and WW2.",1,"https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/491452405_2177898659349476_806551700019690059_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFPw83AW1aWJWLcUdXluXfNbEA3xcfd9qgMhFhtfzri4jHc6B-tb5j6wbHZy5UW2Vk&_nc_ohc=qVlMwt2dXskQ7kNvwHytwAG&_nc_gid=Q0Qf-1izaNyt-xb1JbTRhA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afes_BjlzE7PZCNlsPEgLKoQPSAlU-sMlPi2TMfRx-A_nA&oe=69056E9C&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",28,"Universiteit Leiden - Wijnhaven","abba.association.leiden","clips","2023-04-09T05:19:37.000Z","Video","https://www.instagram.com/p/CqzauiKOpGo/",839,2023-04-09,1,"Social",1,0,0,1,0,0,0,0,0,1,0,NA,639.15900131406
"7","🤔 Have you ever thought of becoming a diplomat? 

















👩‍🎓 In this video, Mr. Solovei, the Chargé d’Affaires of the Embassy of Ukraine in the Netherlands, gives his message to Leiden University students. 

















🏛 Mr. Solovei is a career diplomat and has been part of the Ministry of Foreign Affairs of Ukraine for 20+ years.",0,"https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/501815508_1265793531723034_689648503345544263_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFx97OhxDfjy23dV6G3VzBFkgFkC2NMVmzaI86PmTyxrzgLMA74nndhbIs30OkXKSo&_nc_ohc=YsTBmzgnBJoQ7kNvwG5xUr7&_nc_gid=NndM6G3Y3LpZnDBVsAycKA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfekvcQUkcx8l3s98kzkmXZqItbg6emAz8QmbDXsCDviJA&oe=6905745E&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",24,"Universiteit Leiden - Wijnhaven","abba.association.leiden","clips","2023-04-09T11:58:57.000Z","Video","https://www.instagram.com/p/Cq0Ie4DOg-m/",798,2023-04-09,1,"Political",1,0,0,0,0,1,0,0,0,1,0,NA,639.15900131406
"8","🇺🇦 Last Thursday, we had the honor of welcoming the Chargé d'Affaires of the Embassy of Ukraine in the Netherlands, Anatolii Solovei, at Leiden University. 

















🗣 Together with the students, Mr. Solovei commemorated the 1-year anniversary of the liberation of Bucha, delved into Ukraine’s efforts to hold russian aggressors accountable, and shared his experience as a career diplomat. 

















🦾 Currently, ABBA is working hard to host more events for the Leiden University community. 

















📸 @anna.b.photography",0,"https://scontent-mia3-2.cdninstagram.com/v/t51.29350-15/340497930_2536147239868121_5928240292141999454_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QGMalyIGcckEL_h46MCkRWKdvYS1b7ApgkzNvzVxJ11QDWJyKVIPsE4LumSxRz6Y2g&_nc_ohc=wVIYqOmDFzMQ7kNvwHGPvVm&_nc_gid=Vf7ruPdgIGeXiTv-qxx4KA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdJ2528NuL8ofSNbayTmmBlfVnGlQ5q658j0JzZYdGi6Q&oe=69058C63&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",52,"Universiteit Leiden - Wijnhaven","abba.association.leiden",NA,"2023-04-12T13:17:17.000Z","Carrousel","https://www.instagram.com/p/Cq7_3ebtboW/",NA,2023-04-12,1,"Political",1,0,0,0,0,1,0,0,1,0,0,NA,639.257555847569
"9","🙌 Meet our new board! 

















🗳 Yesterday, ABBA elected its board for the year of 2023-2024. 

















🙏 We are all very excited to enrich Leiden University student community academically and culturally. 

















📣 Stay tuned for individual introductions!",0,"https://scontent-ord5-3.cdninstagram.com/v/t51.29350-15/341005533_592745266249782_6357618227099535985_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGnU6C8BzVJQLs-fgfc8HRtZUvK0hUgu2e8nCRZY2Dla15V4TRjFKq3mbyc2q9-AUI&_nc_ohc=kOIs_wRnmbwQ7kNvwHY5Ttl&_nc_gid=WYZQODqE5OgZOzGKc8tOsA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcIzrZxAf0ZzVCaIygho2ks4uFipedj_fbrYiVoJZZuQg&oe=690598D1&_nc_sid=10d13b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",95,"Universiteit Leiden - Wijnhaven","abba.association.leiden",NA,"2023-04-12T18:19:41.000Z","Carrousel","https://www.instagram.com/p/Cq8ieNRt28L/",NA,2023-04-12,1,"Social",1,0,0,1,0,0,0,0,1,0,0,NA,639.257555847569
"10","🐣 Yesterday, ABBA members celebrated Easter according to the Eastern Orthodox calendar. 

















🎨 The students decorated eggs, taking inspiration from Ukrainian pysanky, and shared traditions from their respective countries. 

















🙌 We hope to welcome you at our cultural events in the future!",6,"https://scontent-lga3-1.cdninstagram.com/v/t51.29350-15/341936801_1674608836330442_9040487845020173879_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFtDC5kWeZDlz476PwsDGa4XFwb79vj-a2W7FyphqZmg0yT3Bvs_stvNcXAUUjyFS0&_nc_ohc=m_RLhPZKrOcQ7kNvwG2KrG6&_nc_gid=bszlVyr4WeJFT_PXuHu30A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffGpjMuIgUd2vzmjifPQvEUTEeO38yVb1Siy97jMw3pHA&oe=690588B1&_nc_sid=10d13b","Amazing cultural exchange 👏 definitely looking forward to sharing more such experiences!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.instagram.com/abba.association.leiden","false",NA,"false",57,"Den Haag, Netherland","abba.association.leiden",NA,"2023-04-17T13:03:12.000Z","Carrousel","https://www.instagram.com/p/CrI2OlSs4tz/",NA,2023-04-17,1,"Cultural",1,0,0,0,1,0,0,0,1,0,0,NA,639.421813403417
